pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
CH,"Sánchez, Cristopher",650911,683011,strikeout,swinging_strike,Anthony Volpe strikes out swinging.,2024,Changeup
SL,"Sánchez, Cristopher",650911,683011,No event,swinging_strike,Anthony Volpe strikes out swinging.,2024,Slider
SI,"Sánchez, Cristopher",650911,683011,No event,ball,Anthony Volpe strikes out swinging.,2024,Sinker
CH,"Sánchez, Cristopher",650911,683011,No event,called_strike,Anthony Volpe strikes out swinging.,2024,Changeup
SL,"Sánchez, Cristopher",650911,665862,double_play,hit_into_play,"Jazz Chisholm Jr.  lines into a double play, second baseman Weston Wilson to first baseman Bryce Harper.   Giancarlo Stanton out at 1st.",2024,Slider
SI,"Sánchez, Cristopher",650911,665862,No event,ball,"Jazz Chisholm Jr.  lines into a double play, second baseman Weston Wilson to first baseman Bryce Harper.   Giancarlo Stanton out at 1st.",2024,Sinker
CH,"Sánchez, Cristopher",650911,665862,No event,foul,"Jazz Chisholm Jr.  lines into a double play, second baseman Weston Wilson to first baseman Bryce Harper.   Giancarlo Stanton out at 1st.",2024,Changeup
SL,"Sánchez, Cristopher",650911,665862,No event,called_strike,"Jazz Chisholm Jr.  lines into a double play, second baseman Weston Wilson to first baseman Bryce Harper.   Giancarlo Stanton out at 1st.",2024,Slider
SL,"Sánchez, Cristopher",650911,519317,single,hit_into_play,Giancarlo Stanton singles on a sharp ground ball to right fielder Nick Castellanos.   Juan Soto to 2nd.,2024,Slider
CH,"Sánchez, Cristopher",650911,592450,strikeout,swinging_strike,Aaron Judge strikes out swinging.,2024,Changeup
CH,"Sánchez, Cristopher",650911,592450,No event,ball,Aaron Judge strikes out swinging.,2024,Changeup
SI,"Sánchez, Cristopher",650911,592450,No event,foul,Aaron Judge strikes out swinging.,2024,Sinker
CH,"Sánchez, Cristopher",650911,592450,No event,foul,Aaron Judge strikes out swinging.,2024,Changeup
CH,"Sánchez, Cristopher",650911,592450,No event,ball,Aaron Judge strikes out swinging.,2024,Changeup
SI,"Sánchez, Cristopher",650911,592450,No event,swinging_strike,Aaron Judge strikes out swinging.,2024,Sinker
CH,"Sánchez, Cristopher",650911,592450,No event,swinging_strike,Aaron Judge strikes out swinging.,2024,Changeup
